Member_number,Date,itemDescription,Invoice_id
1808,21-07-2015,tropical fruit,1808_21-07-2015
2552,05-01-2015,whole milk,2552_05-01-2015
2300,19-09-2015,pip fruit,2300_19-09-2015
1187,12-12-2015,other vegetables,1187_12-12-2015
3037,01-02-2015,whole milk,3037_01-02-2015
4941,14-02-2015,rolls/buns,4941_14-02-2015
4501,08-05-2015,other vegetables,4501_08-05-2015
3803,23-12-2015,pot plants,3803_23-12-2015
2762,20-03-2015,whole milk,2762_20-03-2015
4119,12-02-2015,tropical fruit,4119_12-02-2015
1340,24-02-2015,citrus fruit,1340_24-02-2015
2193,14-04-2015,beef,2193_14-04-2015
1997,21-07-2015,frankfurter,1997_21-07-2015
4546,03-09-2015,chicken,4546_03-09-2015
4736,21-07-2015,butter,4736_21-07-2015
1959,30-03-2015,fruit/vegetable juice,1959_30-03-2015
1974,03-05-2015,packaged fruit/vegetables,1974_03-05-2015
2421,02-09-2015,chocolate,2421_02-09-2015
1513,03-08-2015,specialty bar,1513_03-08-2015
1905,07-07-2015,other vegetables,1905_07-07-2015
2810,08-09-2015,butter milk,2810_08-09-2015
2867,12-11-2015,whole milk,2867_12-11-2015
3962,18-09-2015,tropical fruit,3962_18-09-2015
1088,30-11-2015,tropical fruit,1088_30-11-2015
4976,17-07-2015,bottled water,4976_17-07-2015
4056,12-06-2015,yogurt,4056_12-06-2015
3611,13-02-2015,sausage,3611_13-02-2015
1420,14-01-2015,other vegetables,1420_14-01-2015
4286,08-03-2015,brown bread,4286_08-03-2015
4918,27-01-2015,yogurt,4918_27-01-2015
4783,22-10-2015,hamburger meat,4783_22-10-2015
3709,26-10-2015,root vegetables,3709_26-10-2015
4289,08-10-2015,pork,4289_08-10-2015
1559,03-10-2015,beef,1559_03-10-2015
2900,11-04-2015,pastry,2900_11-04-2015
1905,21-02-2015,fruit/vegetable juice,1905_21-02-2015
3527,29-09-2015,canned beer,3527_29-09-2015
1495,09-01-2015,root vegetables,1495_09-01-2015
3558,03-04-2015,citrus fruit,3558_03-04-2015
3128,20-04-2015,sausage,3128_20-04-2015
1863,04-08-2015,tropical fruit,1863_04-08-2015
3841,19-07-2015,berries,3841_19-07-2015
3903,06-10-2015,canned beer,3903_06-10-2015
2658,16-10-2015,butter milk,2658_16-10-2015
4272,06-06-2015,coffee,4272_06-06-2015
1120,26-09-2015,pastry,1120_26-09-2015
2676,15-08-2015,rolls/buns,2676_15-08-2015
1697,21-05-2015,misc. beverages,1697_21-05-2015
2507,25-08-2015,root vegetables,2507_25-08-2015
4620,11-03-2015,sausage,4620_11-03-2015
3365,01-02-2015,canned beer,3365_01-02-2015
2978,05-06-2015,ham,2978_05-06-2015
2910,28-07-2015,turkey,2910_28-07-2015
1061,05-09-2015,whole milk,1061_05-09-2015
3276,03-04-2015,whole milk,3276_03-04-2015
1326,19-06-2015,packaged fruit/vegetables,1326_19-06-2015
3023,28-07-2015,rolls/buns,3023_28-07-2015
2185,11-10-2015,ham,2185_11-10-2015
3552,16-06-2015,rolls/buns,3552_16-06-2015
1967,20-01-2015,other vegetables,1967_20-01-2015
4708,20-03-2015,sausage,4708_20-03-2015
2874,15-02-2015,sausage,2874_15-02-2015
4177,13-04-2015,frankfurter,4177_13-04-2015
1663,07-02-2015,rolls/buns,1663_07-02-2015
2632,02-03-2015,whole milk,2632_02-03-2015
1377,14-03-2015,curd cheese,1377_14-03-2015
4162,22-12-2015,red/blush wine,4162_22-12-2015
2270,01-07-2015,sausage,2270_01-07-2015
4829,03-11-2015,tropical fruit,4829_03-11-2015
3811,14-04-2015,red/blush wine,3811_14-04-2015
4766,29-09-2015,whole milk,4766_29-09-2015
2436,12-04-2015,frankfurter,2436_12-04-2015
3860,05-05-2015,whole milk,3860_05-05-2015
4875,12-05-2015,frozen potato products,4875_12-05-2015
1587,01-07-2015,other vegetables,1587_01-07-2015
4038,08-07-2015,citrus fruit,4038_08-07-2015
4750,21-09-2015,flour,4750_21-09-2015
1199,10-12-2015,sugar,1199_10-12-2015
1603,30-09-2015,frozen meals,1603_30-09-2015
3111,31-01-2015,chocolate,3111_31-01-2015
3894,13-12-2015,root vegetables,3894_13-12-2015
1456,18-09-2015,root vegetables,1456_18-09-2015
2022,04-03-2015,herbs,2022_04-03-2015
2505,30-11-2015,bottled water,2505_30-11-2015
4851,20-12-2015,sausage,4851_20-12-2015
4293,04-08-2015,coffee,4293_04-08-2015
2775,06-11-2015,pork,2775_06-11-2015
3693,18-02-2015,berries,3693_18-02-2015
1202,22-07-2015,soda,1202_22-07-2015
3699,23-08-2015,berries,3699_23-08-2015
4152,15-04-2015,fruit/vegetable juice,4152_15-04-2015
4155,26-01-2015,citrus fruit,4155_26-01-2015
4010,29-12-2015,pork,4010_29-12-2015
4389,20-10-2015,detergent,4389_20-10-2015
3746,17-08-2015,grapes,3746_17-08-2015
2560,17-05-2015,sausage,2560_17-05-2015
