Address1,Address2,City,Phone,VaccineType,latitude,longitude,Take Home Test Kits,Antiviral Confirmed,Title
104-375 ST. ALBERT TR,,ST ALBERT,780-458-8000,ADULT XBB,53.64320444,-113.6226777,YES,NO,LONDON DRUGS #48
601-401 COOPERS BLVD SW,,AIRDRIE,587-254-5810,ADULT XBB,51.25705871,-114.0210533,YES,YES,SAVE-ON-FOODS PHARMACY #6603 - AIRDRIE WEST
110-10 PELICAN PL,,SYLVAN LAKE,403-864-5192,ADULT XBB,52.29941313,-114.0959723,YES,YES,PELICAN PLACE PHARMACY
102-1230 91 ST SW,,EDMONTON,780-916-1230,ADULT XBB,53.42240534,-113.4761289,YES,NO,1230 PHARMACY & TRAVEL CLINIC
13703 93 ST NW,,EDMONTON,780-760-3387,ADULT XBB,53.60025033,-113.4846499,YES,YES,MEDICINE SHOPPE PHARMACY 387
113-5271 MEMORIAL DR SE,,CALGARY,403-235-0081,,51.05308993,-113.9562593,YES,NO,UNIVERSAL PHARMACY
4912 PLAZA AVE,,SWAN HILLS,780-333-2722,,54.71806503,-115.4005221,YES,YES,REXALL #7211
115-4812C 43A AVE,,LEDUC,780-515-4245,ADULT XBB,53.2568128,-113.5408747,YES,YES,AHL PHARMACY
11-3735 RUNDLEHORN DR NE,,CALGARY,403-798-9280,ADULT XBB,51.07151283,-113.97887,YES,YES,RUNDLE PHARMACY
223 MAIN ST,,TROCHU,403-442-3823,ADULT XBB,51.82750492,-113.2272117,YES,YES,BALKWILL PHARMACY LTD.
38-665 BASELINE RD,,SHERWOOD PARK,780-890-0365,ADULT XBB,53.54075878,-113.2610638,YES,YES,HERITAGE HILLS PHARMACY
65 BOW ST,,COCHRANE,403-932-7257,,51.18703115,-114.4660452,YES,YES,SAVE-ON-FOODS PHARMACY #6637 - COCHRANE
392 ST. ALBERT RD,,ST ALBERT,780-459-8727,ADULT XBB,53.64397042,-113.6284436,YES,YES,SOBEYS PHARMACY #3101
SOUTHPARK VILLAGE,3931 CALGARY TR NW,EDMONTON,780-433-2575,ADULT XBB,53.47553197,-113.4940169,NO,YES,WAL-MART PHARMACY #1145
1031-200 SOUTHRIDGE DR,,OKOTOKS,403-917-0655,,50.70674987,-113.9778524,YES,YES,WESTMOUNT REMEDY'S RX PHARMACY
850 SADDLETOWNE CIR NE,,CALGARY,403-293-1670,,51.12375399,-113.9447021,YES,NO,FRESHCO PHARMACY #4291
3130-11 ROYAL VISTA DR NW,,CALGARY,403-800-6646,ADULT XBB,51.1500556,-114.2064574,NO,NO,CALGARY DRUG MART #03
110-31 LIBERTON DR,,ST ALBERT,587-764-0397,ADULT XBB,53.64578048,-113.6282527,NO,NO,DISPENSARIES (1991) LIMITED
6911 172 ST NW,,EDMONTON,780-481-5886,,53.50525835,-113.6192906,NO,NO,CALLINGWOOD PHARMACY
4448 50 AVE,,ST PAUL,780-645-3610,ADULT XBB,53.99186708,-111.2823593,YES,YES,GREG'S VALUE DRUG MART INC.
502 1 ST W,,BOW ISLAND,403-545-2929,,49.87036358,-111.3815024,YES,NO,BOW ISLAND APPLE DRUGS
20-872 HERITAGE BLVD W,,LETHBRIDGE,403-942-0120,ADULT XBB,49.69802021,-112.8923162,YES,NO,WESTBRIDGE PHARMACY
2-100 MILLIGAN DR,,OKOTOKS,403-982-7663,,50.73271622,-113.9667481,YES,NO,PHARMASAVE MILLIGAN DRIVE
6112 50 ST,,LEDUC,780-986-0364,,53.27397096,-113.5483837,YES,YES,SAFEWAY PHARMACY #8857
5309 ELLERSLIE RD SW,,EDMONTON,780-450-1116,ADULT XBB,53.42441104,-113.4251908,NO,YES,SOBEYS PHARMACY #5190
400-1000 HAMPTONS DR NW,,CALGARY,403-299-6715,ADULT XBB,51.14347029,-114.1295243,YES,YES,CALGARY CO-OP PHARMACY #17
627 CAMERON HEIGHTS DR NW,,EDMONTON,780-444-4884,ADULT XBB,53.4703489,-113.6312498,YES,YES,FRONTLINE PHARMACY
771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,ADULT XBB,51.08260367,-114.0959373,YES,NO,MELL PHARMACY
9611 167 AVE NW,,EDMONTON,780-406-1005,ADULT XBB,53.62953371,-113.4896088,YES,YES,SOBEYS PHARMACY #3035
320 PINE CREEK RD,,HERITAGE POINTE,403-873-7530,ADULT XBB,50.83545577,-114.0014183,NO,YES,HERITAGE POINTE PHARMASAVE & COMPOUNDING #367
114-8180 MACLEOD TR SE,,CALGARY,403-253-7383,ADULT XBB,50.98199571,-114.0703651,YES,YES,MEDICINE SHOPPE PHARMACY 111
8335 20 AVE,,COLEMAN,403-563-3242,ADULT XBB,49.63676664,-114.493329,YES,YES,COLEMAN REMEDY'S RX
108-5401 TEMPLE DR NE,,CALGARY,403-460-0303,ADULT XBB,51.0851268,-113.9569255,YES,NO,TEMPLE MEDICAL CLINIC PHARMACY
5302 DISCOVERY WAY,,LEDUC,780-986-1995,ADULT XBB,53.26868359,-113.5697047,YES,YES,WAL-MART PHARMACY #3657
102-22919 97 AVE NW,,EDMONTON,780-426-7271,ADULT XBB,53.53675707,-113.7125368,YES,NO,PHARMASAVE #3045
32-4604 37 ST SW,,CALGARY,825-210-9716,,51.01325442,-114.1399128,YES,NO,RUTLAND COMPOUNDING PHARMACY
4-7930 BOWNESS RD NW,,CALGARY,403-288-4041,ADULT XBB,51.08913208,-114.2011653,YES,YES,MEDICINE SHOPPE PHARMACY 199
356-100 ANDERSON RD SE,,CALGARY,403-271-7877,,50.95353734,-114.0667463,NO,YES,SHOPPERS DRUG MART #316
600A PATRICIA ST,,JASPER,780-820-1091,ADULT XBB,52.87592181,-118.0818679,NO,YES,JASPER METTRA PHARMACY
110-2020 SHERWOOD DR,,SHERWOOD PARK,780-467-3222,ADULT XBB,53.53113465,-113.2930594,YES,YES,SAFEWAY PHARMACY #8924
5214B 50 AVE,,WETASKIWIN,780-352-2272,ADULT XBB,52.97032667,-113.3798258,NO,NO,MEDICINE SHOPPE PHARMACY 397
860 13 ST SE,,CALGARY,587-480-0178,ADULT XBB,51.04042942,-114.0309414,YES,YES,SAGE PLUS CLINICAL PHARMACY
10818 JASPER AVE NW,,EDMONTON,780-488-4665,ADULT XBB,53.54115103,-113.5068849,YES,NO,REXALL #7265
15956 109 AVE NW,,EDMONTON,780-540-9210,ADULT XBB,53.55419399,-113.5980598,YES,YES,A TO Z CARE PHARMACY
8704A MEADOWLARK RD,,EDMONTON,780-489-1150,,53.52005797,-113.596927,NO,NO,MEADOWLARK PHARMACY
4904 50 AVE,,ALIX,403-747-2405,,52.40035433,-113.1909133,YES,YES,ALIX DRUGS LTD.
5011 49 ST,,INNISFAIL,403-227-3500,ADULT XBB,52.02637881,-113.9507393,YES,YES,JACKSON'S PHARMASAVE #327
1711 4 ST SW,,CALGARY,403-228-5067,ADULT XBB,51.0372509,-114.0717656,YES,YES,RIDEAU PHARMACY
11-600 CROWFOOT CRES NW,,CALGARY,403-455-9939,ADULT XBB,51.12979307,-114.2039427,YES,YES,MEDICINE SHOPPE PHARMACY 260
120-140 BELLEROSE DR,,ST ALBERT,780-312-7575,,53.65077096,-113.6154427,YES,YES,PEOPLES PHARMACY 8058
5209 6 ST,,COALHURST,403-942-4577,ADULT XBB,49.74835515,-112.9250868,YES,YES,COALHURST IDA PHARMACY
2079 146 AVE SE,,CALGARY,403-278-1565,ADULT XBB,50.9198697,-114.0148617,YES,YES,DRUG SHOPPE
109-1424 SOUTHVIEW DR SE,,MEDICINE HAT,403-487-6131,,50.01055804,-110.6628391,YES,YES,SOUTHVIEW PHARMACY
9704 19 AVE NW,,EDMONTON,780-432-0439,ADULT XBB,53.44861631,-113.48138,YES,YES,LONDON DRUGS #57
100-2700 MAIN ST,,AIRDRIE,403-912-3703,,51.26905206,-114.0054135,NO,NO,CALGARY CO-OP PHARMACY #19
